Length,Diameter,Height,Whole_w,Shucked_w,Viscera_w,Shell_w,Rings
0.58,0.455,0.195,1.859,0.945,0.426,0.441,Young
0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,Young
0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,Young
0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,Young
0.58,0.45,0.155,0.93,0.385,0.246,0.265,Young
0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,Young
0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,Young
0.59,0.47,0.15,0.9955,0.481,0.232,0.24,Young
0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,Young
0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,Young
0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,Young
0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,Young
0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,Young
0.605,0.475,0.14,1.1175,0.555,0.257,0.274,Young
0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,Young
0.605,0.475,0.165,1.056,0.433,0.2195,0.357,Young
0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,Young
0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,Young
0.61,0.47,0.165,1.052,0.498,0.242,0.267,Young
0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,Young
0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,Young
0.615,0.475,0.155,1.027,0.447,0.25,0.285,Young
0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,Young
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,Young
0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,Young
0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,Young
0.625,0.48,0.185,1.2065,0.587,0.29,0.286,Young
0.63,0.47,0.155,1.1325,0.589,0.211,0.287,Young
0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,Young
0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,Young
0.64,0.515,0.165,1.369,0.632,0.3415,0.358,Young
0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,Young
0.645,0.48,0.17,1.1345,0.528,0.254,0.305,Young
0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,Young
0.65,0.5,0.155,1.202,0.565,0.3135,0.294,Old
0.655,0.515,0.16,1.31,0.553,0.369,0.345,Old
0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,Young
0.66,0.53,0.185,1.346,0.546,0.2705,0.476,Old
0.665,0.525,0.16,1.363,0.629,0.279,0.34,Young
0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,Young
0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,Young
0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,Old
0.685,0.52,0.165,1.519,0.699,0.3685,0.4,Young
0.69,0.54,0.155,1.454,0.624,0.3105,0.39,Young
0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,Old
0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,Young
0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,Young
0.7,0.565,0.18,1.751,0.895,0.3355,0.446,Young
0.7,0.575,0.19,2.273,1.095,0.418,0.638,Old
0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,Young
0.705,0.55,0.17,1.219,0.6395,0.236,0.301,Young
0.71,0.56,0.18,1.652,0.735,0.381,0.4525,Old
0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,Old
0.715,0.535,0.19,1.6755,0.889,0.313,0.42,Young
0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,Young
0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,Young
0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,Young
0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,Old
0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,Old
0.735,0.585,0.185,2.124,0.952,0.55,0.5,Old
0.745,0.565,0.215,1.931,0.896,0.4585,0.5,Old
0.75,0.57,0.21,2.236,1.109,0.5195,0.545,Old
0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,Old
0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,Young
0.78,0.63,0.215,2.657,1.488,0.4985,0.586,Old
0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,Young
0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,Young
0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,Young
0.25,0.19,0.065,0.0835,0.039,0.015,0.025,Young
0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,Young
0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,Young
0.31,0.225,0.07,0.1055,0.435,0.015,0.04,Young
0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,Young
0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,Young
0.325,0.225,0.075,0.139,0.0565,0.032,0.09,Young
0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,Young
0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,Young
0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,Young
0.34,0.25,0.09,0.179,0.0775,0.033,0.055,Young
0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,Young
0.345,0.255,0.085,0.2005,0.105,0.037,0.05,Young
0.35,0.27,0.075,0.215,0.1,0.036,0.065,Young
0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,Young
0.36,0.27,0.085,0.196,0.0875,0.035,0.064,Young
0.365,0.27,0.085,0.1875,0.081,0.042,0.058,Young
0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,Young
0.365,0.265,0.085,0.213,0.0945,0.049,0.06,Young
0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,Young
0.37,0.28,0.085,0.217,0.1095,0.035,0.062,Young
0.375,0.29,0.095,0.213,0.096,0.041,0.061,Young
0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,Young
0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,Young
0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,Young
0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,Young
0.375,0.27,0.085,0.218,0.0945,0.039,0.07,Young
0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,Young
0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,Young
0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,Young
0.385,0.28,0.085,0.2175,0.097,0.038,0.067,Young
0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,Young
0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,Young
0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,Young
0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,Young
0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,Young
0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,Young
0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,Young
0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,Young
0.41,0.335,0.11,0.33,0.157,0.0705,0.17,Young
0.42,0.305,0.09,0.328,0.168,0.0615,0.082,Young
0.425,0.325,0.11,0.3335,0.173,0.045,0.1,Young
0.425,0.32,0.1,0.3055,0.126,0.06,0.106,Young
0.425,0.31,0.09,0.301,0.1385,0.065,0.08,Young
0.43,0.34,0,0.428,0.2065,0.086,0.115,Young
0.43,0.315,0.095,0.378,0.175,0.08,0.1045,Young
0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,Young
0.44,0.34,0.12,0.438,0.2115,0.083,0.12,Young
0.45,0.33,0.105,0.448,0.208,0.089,0.12,Young
0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,Young
0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,Young
0.455,0.33,0.1,0.372,0.358,0.0775,0.11,Young
0.46,0.36,0.105,0.466,0.2225,0.099,0.11,Young
0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,Young
0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,Young
0.465,0.34,0.11,0.346,0.1425,0.073,0.113,Old
0.47,0.365,0.1,0.411,0.175,0.0855,0.135,Young
0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,Young
0.47,0.355,0.12,0.393,0.167,0.0885,0.115,Young
0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,Young
0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,Young
0.475,0.36,0.11,0.492,0.211,0.11,0.15,Young
0.48,0.37,0.125,0.5435,0.244,0.101,0.165,Young
0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,Young
0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,Young
0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,Young
0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,Young
0.495,0.395,0.12,0.553,0.224,0.1375,0.167,Young
0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,Young
0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,Young
0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,Young
0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,Young
0.5,0.375,0.125,0.5695,0.259,0.124,0.157,Young
0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,Young
0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,Young
0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,Young
0.505,0.395,0.105,0.551,0.248,0.103,0.171,Young
0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,Young
0.515,0.42,0.135,0.711,0.337,0.144,0.205,Old
0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,Young
0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,Young
0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,Young
0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,Young
0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,Young
0.53,0.415,0.13,0.694,0.3905,0.111,0.167,Young
0.53,0.42,0.155,0.81,0.4725,0.111,0.192,Young
0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,Young
0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,Young
0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,Young
0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,Young
0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,Young
0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,Young
0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,Young
0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,Young
0.545,0.435,0.135,0.7715,0.372,0.148,0.227,Young
0.545,0.445,0.15,0.8,0.3535,0.163,0.207,Young
0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,Young
0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,Young
0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,Old
0.55,0.405,0.125,0.651,0.2965,0.137,0.2,Young
0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,Young
0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,Young
0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,Young
0.555,0.44,0.14,0.8705,0.407,0.156,0.255,Young
0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,Young
0.555,0.43,0.14,0.7665,0.341,0.165,0.23,Young
0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,Young
0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,Young
0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,Young
0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,Young
0.56,0.455,0.145,0.974,0.547,0.1615,0.235,Young
0.565,0.44,0.175,0.8735,0.414,0.21,0.21,Old
0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,Young
0.565,0.445,0.15,0.796,0.3635,0.184,0.219,Young
0.565,0.39,0.125,0.744,0.352,0.13,0.1685,Old
0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,Young
0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,Young
0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,Young
0.57,0.435,0.17,0.873,0.382,0.183,0.2705,Young
0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,Young
0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,Young
0.575,0.42,0.135,0.857,0.461,0.147,0.2125,Young
0.575,0.48,0.165,1.078,0.511,0.2095,0.306,Young
0.575,0.46,0.155,0.892,0.4415,0.176,0.22,Young
0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,Young
0.58,0.455,0.135,0.7955,0.405,0.167,0.204,Young
0.58,0.445,0.15,0.858,0.4,0.156,0.253,Young
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,Young
0.585,0.49,0.185,1.171,0.522,0.2535,0.335,Young
0.585,0.475,0.16,1.0505,0.48,0.234,0.285,Young
0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,Young
0.585,0.47,0.165,1.409,0.8,0.229,0.295,Young
0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,Young
0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,Young
0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,Young
0.59,0.47,0.18,1.187,0.5985,0.227,0.31,Young
0.59,0.455,0.155,0.8855,0.388,0.188,0.275,Young
0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,Young
0.595,0.465,0.155,1.026,0.4645,0.112,0.305,Old
0.6,0.475,0.17,1.1315,0.508,0.272,0.309,Young
0.6,0.48,0.155,1.014,0.451,0.1885,0.325,Old
0.6,0.475,0.15,1.12,0.565,0.2465,0.27,Young
0.6,0.465,0.155,1.04,0.4755,0.25,0.28,Old
0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,Young
0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,Old
0.605,0.485,0.15,1.238,0.6315,0.226,0.33,Old
0.605,0.49,0.14,0.9755,0.419,0.206,0.315,Young
0.605,0.435,0.13,0.9025,0.432,0.174,0.26,Old
0.605,0.475,0.175,1.076,0.463,0.2195,0.335,Young
0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,Old
0.61,0.45,0.15,0.871,0.407,0.1835,0.25,Young
0.61,0.48,0.165,1.244,0.6345,0.257,0.305,Old
0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,Young
0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,Young
0.61,0.48,0.17,1.137,0.4565,0.29,0.347,Young
0.61,0.46,0.16,1,0.494,0.197,0.275,Young
0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,Young
0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,Young
0.615,0.5,0.17,1.054,0.4845,0.228,0.295,Young
0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,Old
0.615,0.475,0.17,1.129,0.4795,0.302,0.3,Young
0.615,0.48,0.175,1.118,0.446,0.3195,0.3,Young
0.615,0.475,0.155,1.115,0.484,0.2115,0.355,Young
0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,Young
0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,Old
0.62,0.5,0.15,1.293,0.596,0.3135,0.354,Young
0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,Young
0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,Young
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,Old
0.625,0.515,0.16,1.264,0.5715,0.326,0.321,Young
0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,Old
0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,Young
0.63,0.505,0.18,1.272,0.6025,0.295,0.315,Old
0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,Old
0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,Young
0.63,0.495,0.16,1.093,0.497,0.221,0.315,Old
0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,Young
0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,Young
0.635,0.495,0.175,1.211,0.707,0.2725,0.323,Young
0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,Young
0.635,0.51,0.155,0.986,0.405,0.2255,0.31,Young
0.64,0.565,0.23,1.521,0.644,0.372,0.406,Old
0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,Young
0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,Old
0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,Young
0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,Old
0.65,0.505,0.165,1.16,0.4785,0.274,0.349,Old
0.65,0.59,0.22,1.662,0.77,0.378,0.435,Old
0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,Old
0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,Young
0.65,0.51,0.17,1.567,0.7245,0.349,0.391,Young
0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,Young
0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,Old
0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,Young
0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,Young
0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,Young
0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,Young
0.665,0.53,0.18,1.491,0.6345,0.342,0.435,Young
0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,Old
0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,Young
0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,Old
0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,Young
0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,Old
0.7,0.545,0.13,1.556,0.6725,0.374,0.195,Old
0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,Young
0.705,0.555,0.215,2.141,1.0465,0.383,0.528,Old
0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,Old
0.71,0.55,0.17,1.614,0.743,0.345,0.45,Old
0.72,0.575,0.17,1.9335,0.913,0.389,0.51,Old
0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,Old
0.725,0.6,0.2,1.737,0.697,0.3585,0.595,Old
0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,Old
0.735,0.565,0.205,2.1275,0.949,0.46,0.565,Old
0.745,0.57,0.215,2.25,1.1565,0.446,0.558,Young
0.75,0.61,0.235,2.5085,1.232,0.519,0.612,Old
0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,Old
0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,Young
0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,Young
0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,Young
0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,Young
0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,Young
0.375,0.28,0.085,0.3155,0.187,0.046,0.067,Young
0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,Young
0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,Young
0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,Young
0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,Young
0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,Young
0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,Young
0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,Young
0.41,0.32,0.095,0.2905,0.141,0.063,0.073,Young
0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,Young
0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,Young
0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,Young
0.44,0.34,0.105,0.369,0.164,0.08,0.1015,Young
0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,Young
0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,Young
0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,Young
0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,Young
0.46,0.355,0.11,0.436,0.1975,0.096,0.125,Young
0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,Young
0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,Young
0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,Young
0.475,0.37,0.125,0.649,0.347,0.136,0.142,Young
0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,Young
0.475,0.365,0.115,0.566,0.281,0.117,0.1335,Young
0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,Young
0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,Young
0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,Young
0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,Young
0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,Young
0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,Young
0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,Young
0.515,0.395,0.125,0.556,0.2695,0.096,0.17,Young
0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,Young
0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,Young
0.52,0.4,0.125,0.559,0.254,0.139,0.149,Young
0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,Young
0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,Young
0.53,0.4,0.125,0.7575,0.398,0.151,0.175,Young
0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,Young
0.55,0.43,0.14,0.84,0.375,0.218,0.1945,Young
0.55,0.425,0.16,0.793,0.343,0.2035,0.215,Young
0.56,0.43,0.15,0.8745,0.453,0.161,0.22,Young
0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,Young
0.57,0.445,0.15,0.9875,0.504,0.207,0.249,Young
0.575,0.465,0.15,1.08,0.595,0.2065,0.238,Young
0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,Young
0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,Young
0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,Young
0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,Young
0.59,0.44,0.15,0.8725,0.387,0.215,0.245,Young
0.59,0.465,0.15,1.151,0.613,0.239,0.2515,Young
0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,Young
0.595,0.455,0.16,1.04,0.452,0.2655,0.288,Young
0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,Young
0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,Young
0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,Old
0.605,0.485,0.16,1.201,0.417,0.2875,0.38,Young
0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,Young
0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,Old
0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,Young
0.62,0.485,0.155,1.049,0.462,0.231,0.25,Young
0.62,0.435,0.155,1.012,0.477,0.236,0.275,Young
0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,Young
0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,Young
0.625,0.47,0.18,1.136,0.451,0.3245,0.305,Old
0.63,0.47,0.145,1.1005,0.52,0.26,0.276,Young
0.63,0.5,0.175,1.1105,0.467,0.268,0.329,Young
0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,Young
0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,Old
0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,Young
0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,Young
0.635,0.51,0.185,1.308,0.544,0.318,0.377,Young
0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,Young
0.645,0.515,0.175,1.546,0.7035,0.365,0.415,Young
0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,Old
0.645,0.505,0.165,1.318,0.55,0.3015,0.335,Old
0.65,0.545,0.175,1.5245,0.59,0.326,0.495,Young
0.65,0.515,0.175,1.466,0.677,0.3045,0.4,Young
0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,Young
0.65,0.485,0.14,1.175,0.475,0.2435,0.215,Young
0.655,0.54,0.215,1.5555,0.695,0.296,0.444,Old
0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,Old
0.66,0.505,0.165,1.374,0.589,0.351,0.345,Young
0.665,0.515,0.18,1.389,0.5945,0.324,0.395,Young
0.67,0.545,0.2,1.7025,0.833,0.374,0.41,Old
